<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	0.65630	0.66150	0.65570	0.65840	1988	0	50
2000.01.04	0.65830	0.65940	0.65410	0.65480	2919	0	50
2000.01.05	0.65460	0.66000	0.65350	0.65830	3213	0	50
2000.01.06	0.65810	0.65890	0.65250	0.65290	3457	0	50
2000.01.07	0.65280	0.65620	0.65220	0.65480	2513	0	50
2000.01.08	0.65490	0.65510	0.65490	0.65510	3	0	50
2000.01.10	0.65470	0.65740	0.65370	0.65570	2451	0	50
2000.01.11	0.65580	0.65900	0.65270	0.65790	3101	0	50
2000.01.12	0.65780	0.65940	0.65670	0.65850	2493	0	50
2000.01.13	0.65860	0.66870	0.65820	0.66840	3365	0	50
2000.01.14	0.66850	0.66860	0.66470	0.66560	2467	0	50
2000.01.15	0.66550	0.66610	0.66540	0.66570	13	0	50
2000.01.17	0.66480	0.66630	0.66300	0.66390	2297	0	50
2000.01.18	0.66460	0.66640	0.66200	0.66560	2654	0	50
2000.01.19	0.66550	0.66600	0.66220	0.66370	2884	0	50
2000.01.20	0.66380	0.66760	0.66150	0.66590	2926	0	50
2000.01.21	0.66570	0.66650	0.66140	0.66270	2891	0	50
2000.01.22	0.66280	0.66290	0.66240	0.66250	8	0	50
2000.01.24	0.65900	0.65950	0.65270	0.65420	3326	0	50
2000.01.25	0.65430	0.65750	0.65330	0.65520	2557	0	50
2000.01.26	0.65530	0.65750	0.64970	0.65220	2773	0	50
2000.01.27	0.65190	0.65600	0.65110	0.65420	2446	0	50
2000.01.28	0.65380	0.65600	0.62290	0.63350	4624	0	50
2000.01.29	0.63470	0.63510	0.63350	0.63450	77	0	50
2000.01.31	0.63900	0.64000	0.63320	0.63730	3402	0	50
2000.02.01	0.63720	0.63830	0.62940	0.63250	2930	0	50
2000.02.02	0.63240	0.64120	0.63160	0.63780	3787	0	50
2000.02.03	0.63830	0.64050	0.63040	0.63670	4152	0	50
2000.02.04	0.63620	0.63870	0.62870	0.63780	4496	0	50
2000.02.05	0.63790	0.63820	0.63700	0.63700	23	0	50
2000.02.07	0.63790	0.64300	0.63260	0.63380	3810	0	50
2000.02.08	0.63360	0.63710	0.63110	0.63270	3890	0	50
2000.02.09	0.63280	0.63850	0.63050	0.63580	3897	0	50
2000.02.10	0.63570	0.63660	0.62830	0.63050	4458	0	50
2000.02.11	0.63070	0.63350	0.62530	0.63040	3520	0	50
2000.02.12	0.63050	0.63150	0.63050	0.63150	5	0	50
2000.02.14	0.63170	0.63300	0.62650	0.62670	2282	0	50
2000.02.15	0.62660	0.63110	0.62380	0.62900	3734	0	50
2000.02.16	0.62830	0.63340	0.62790	0.63200	3742	0	50
2000.02.17	0.63210	0.63550	0.62930	0.63170	3693	0	50
2000.02.18	0.63180	0.63400	0.62820	0.62920	2928	0	50
2000.02.19	0.62900	0.63100	0.62890	0.62930	22	0	50
2000.02.21	0.62880	0.62960	0.62520	0.62540	3292	0	50
2000.02.22	0.62560	0.62800	0.62360	0.62380	3591	0	50
2000.02.23	0.62390	0.62390	0.61900	0.62120	3749	0	50
2000.02.24	0.62160	0.62270	0.61350	0.61450	4250	0	50
2000.02.25	0.61450	0.62200	0.61440	0.61500	4284	0	50
2000.02.26	0.61590	0.61610	0.61500	0.61520	7	0	50
2000.02.28	0.61620	0.61620	0.61040	0.61460	2838	0	50
2000.02.29	0.61470	0.61920	0.61270	0.61850	3509	0	50
2000.03.01	0.61780	0.61850	0.60310	0.60560	4855	0	50
2000.03.02	0.60550	0.61150	0.60220	0.60680	4431	0	50
2000.03.03	0.60670	0.61050	0.60510	0.60840	3562	0	50
2000.03.04	0.60850	0.60890	0.60840	0.60840	5	0	50
2000.03.06	0.60820	0.60880	0.60090	0.60190	3334	0	50
2000.03.07	0.60170	0.60600	0.60090	0.60480	3916	0	50
2000.03.08	0.60490	0.61000	0.60260	0.60950	4338	0	50
2000.03.09	0.60950	0.61650	0.60850	0.61480	4138	0	50
2000.03.10	0.61490	0.61650	0.61240	0.61490	3219	0	50
2000.03.11	0.61540	0.61540	0.61460	0.61460	9	0	50
2000.03.13	0.61260	0.61780	0.61130	0.61670	3381	0	50
2000.03.14	0.61630	0.61940	0.61220	0.61450	4035	0	50
2000.03.15	0.61450	0.61730	0.61170	0.61330	3684	0	50
2000.03.16	0.61360	0.61500	0.60820	0.61100	3211	0	50
2000.03.17	0.61080	0.61300	0.60500	0.60680	3442	0	50
2000.03.18	0.60650	0.60700	0.60590	0.60700	19	0	50
2000.03.20	0.60690	0.60900	0.60450	0.60830	3776	0	50
2000.03.21	0.60820	0.61180	0.60650	0.60980	3956	0	50
2000.03.22	0.61000	0.61020	0.60350	0.60390	3788	0	50
2000.03.23	0.60380	0.60660	0.60120	0.60580	4135	0	50
2000.03.24	0.60580	0.60910	0.60470	0.60850	3369	0	50
2000.03.25	0.60820	0.60890	0.60810	0.60810	6	0	50
2000.03.27	0.60870	0.61520	0.60740	0.61120	3502	0	50
2000.03.28	0.61280	0.61600	0.61220	0.61490	3984	0	50
2000.03.29	0.61500	0.61660	0.60720	0.61150	4499	0	50
2000.03.30	0.61210	0.61400	0.60870	0.61310	3667	0	50
2000.03.31	0.61320	0.61380	0.60210	0.60840	3959	0	50
2000.04.01	0.60800	0.60810	0.60700	0.60700	46	0	50
2000.04.03	0.60680	0.60890	0.60570	0.60890	2497	0	50
2000.04.04	0.60860	0.61010	0.60030	0.60460	3308	0	50
2000.04.05	0.60470	0.60780	0.60090	0.60590	4320	0	50
2000.04.06	0.60600	0.60700	0.59900	0.60160	4269	0	50
2000.04.07	0.60130	0.60310	0.59600	0.59840	4011	0	50
2000.04.08	0.59790	0.59790	0.59700	0.59700	2	0	50
2000.04.10	0.59730	0.60000	0.59370	0.59420	2887	0	50
2000.04.11	0.59500	0.59720	0.59350	0.59590	3389	0	50
2000.04.12	0.59520	0.59860	0.59370	0.59840	3506	0	50
2000.04.13	0.59850	0.60050	0.59620	0.59650	3410	0	50
2000.04.14	0.59660	0.59880	0.59570	0.59800	3117	0	50
2000.04.15	0.59820	0.59820	0.59740	0.59740	7	0	50
2000.04.17	0.60270	0.60390	0.58870	0.59140	3783	0	50
2000.04.18	0.59150	0.59680	0.58940	0.59420	4276	0	50
2000.04.19	0.59470	0.59900	0.59250	0.59570	3509	0	50
2000.04.20	0.59550	0.59780	0.59180	0.59250	3116	0	50
2000.04.21	0.59230	0.59450	0.59170	0.59260	798	0	50
2000.04.24	0.59240	0.59580	0.59180	0.59430	1282	0	50
2000.04.25	0.59470	0.59710	0.59240	0.59300	3258	0	50
2000.04.26	0.59310	0.59390	0.58660	0.58810	4276	0	50
2000.04.27	0.58820	0.59100	0.58700	0.58730	3745	0	50
2000.04.28	0.58720	0.59110	0.58220	0.58370	4283	0	50
2000.04.29	0.58390	0.58400	0.58360	0.58360	4	0	50
2000.05.01	0.58390	0.58390	0.57890	0.58320	2105	0	50
2000.05.02	0.58310	0.58750	0.58120	0.58470	3729	0	50
2000.05.03	0.58490	0.59450	0.58370	0.59220	4527	0	50
2000.05.04	0.59230	0.59280	0.58620	0.59130	4221	0	50
2000.05.05	0.59070	0.59750	0.59020	0.59680	3759	0	50
2000.05.06	0.59640	0.59640	0.59570	0.59620	3	0	50
2000.05.08	0.59590	0.59700	0.58080	0.58080	4491	0	50
2000.05.09	0.58070	0.58470	0.57650	0.58370	4416	0	50
2000.05.10	0.58380	0.58600	0.58050	0.58180	4053	0	50
2000.05.11	0.58170	0.58470	0.57470	0.58140	4783	0	50
2000.05.12	0.58150	0.58170	0.57720	0.58100	3911	0	50
2000.05.13	0.58080	0.58080	0.58000	0.58000	6	0	50
2000.05.15	0.58350	0.58350	0.57220	0.57330	3119	0	50
2000.05.16	0.57320	0.57860	0.57120	0.57770	3613	0	50
2000.05.17	0.57750	0.57820	0.56570	0.56790	3743	0	50
2000.05.18	0.56800	0.57400	0.56470	0.57250	4416	0	50
2000.05.19	0.57260	0.57640	0.56710	0.57410	4673	0	50
2000.05.20	0.57400	0.57400	0.57360	0.57360	2	0	50
2000.05.22	0.57240	0.57620	0.56840	0.57150	3668	0	50
2000.05.23	0.57170	0.57810	0.57110	0.57470	3947	0	50
2000.05.24	0.57480	0.57530	0.56920	0.57050	3823	0	50
2000.05.25	0.57060	0.57350	0.56670	0.56850	4226	0	50
2000.05.26	0.56840	0.57550	0.56630	0.57550	3560	0	50
2000.05.27	0.57450	0.57450	0.57450	0.57450	1	0	50
2000.05.29	0.57410	0.57530	0.57120	0.57200	2087	0	50
2000.05.30	0.57270	0.58050	0.57160	0.57490	4400	0	50
2000.05.31	0.57540	0.57710	0.56940	0.57310	4172	0	50
2000.06.01	0.57280	0.57450	0.56840	0.57180	3475	0	50
2000.06.02	0.57160	0.58300	0.56960	0.57970	3530	0	50
2000.06.03	0.57980	0.57990	0.57830	0.57830	12	0	50
2000.06.05	0.58120	0.58530	0.57770	0.58200	3758	0	50
2000.06.06	0.58210	0.59150	0.57900	0.58820	3988	0	50
2000.06.07	0.58810	0.59400	0.58720	0.59350	4306	0	50
2000.06.08	0.59370	0.59380	0.58580	0.58920	3931	0	50
2000.06.09	0.58900	0.58960	0.58500	0.58800	3468	0	50
2000.06.10	0.58810	0.58850	0.58790	0.58790	8	0	50
2000.06.12	0.58710	0.59210	0.58570	0.59140	2829	0	50
2000.06.13	0.59180	0.60000	0.58800	0.59640	4028	0	50
2000.06.14	0.59630	0.60400	0.59550	0.59950	4529	0	50
2000.06.15	0.59980	0.60390	0.59750	0.60240	3940	0	50
2000.06.16	0.60220	0.61030	0.60150	0.60620	3975	0	50
2000.06.17	0.60630	0.60630	0.60580	0.60600	3	0	50
2000.06.19	0.60580	0.60730	0.60070	0.60100	3758	0	50
2000.06.20	0.60110	0.60660	0.60020	0.60280	3399	0	50
2000.06.21	0.60270	0.60360	0.59820	0.60170	3956	0	50
2000.06.22	0.60180	0.60270	0.59410	0.59650	3948	0	50
2000.06.23	0.59660	0.59790	0.59370	0.59460	3745	0	50
2000.06.24	0.59450	0.59470	0.59390	0.59470	14	0	50
2000.06.26	0.59450	0.59760	0.59170	0.59720	3440	0	50
2000.06.27	0.59610	0.60260	0.59610	0.60170	3915	0	50
2000.06.28	0.60160	0.60370	0.60020	0.60210	3747	0	50
2000.06.29	0.60220	0.60550	0.59970	0.60190	4052	0	50
2000.06.30	0.60190	0.60300	0.59320	0.59730	4133	0	50
2000.07.01	0.59680	0.59690	0.59500	0.59500	4	0	50
2000.07.03	0.59690	0.60200	0.59680	0.59820	3673	0	50
2000.07.04	0.59850	0.60050	0.59670	0.59900	2254	0	50
2000.07.05	0.59890	0.59910	0.58870	0.58880	3690	0	50
2000.07.06	0.58870	0.59240	0.58850	0.59050	3705	0	50
2000.07.07	0.59030	0.59190	0.58620	0.59180	3950	0	50
2000.07.08	0.59170	0.59230	0.59170	0.59230	7	0	50
2000.07.10	0.59160	0.59560	0.59050	0.59270	2977	0	50
2000.07.11	0.59260	0.59290	0.58710	0.58750	3357	0	50
2000.07.12	0.58740	0.59200	0.58620	0.58820	3799	0	50
2000.07.13	0.58840	0.59170	0.58250	0.58480	3828	0	50
2000.07.14	0.58460	0.58710	0.58320	0.58430	3552	0	50
2000.07.15	0.58370	0.58410	0.58370	0.58410	3	0	50
2000.07.17	0.58400	0.58940	0.58150	0.58850	3270	0	50
2000.07.18	0.58790	0.58830	0.58090	0.58150	4012	0	50
2000.07.19	0.58140	0.58350	0.57470	0.57670	3897	0	50
2000.07.20	0.57660	0.58420	0.57550	0.58270	3952	0	50
2000.07.21	0.58300	0.58900	0.58110	0.58520	3620	0	50
2000.07.22	0.58550	0.58640	0.58550	0.58640	2	0	50
2000.07.24	0.58610	0.58950	0.58410	0.58530	2778	0	50
2000.07.25	0.58540	0.58760	0.58270	0.58540	3183	0	50
2000.07.26	0.58550	0.59220	0.58300	0.59140	3791	0	50
2000.07.27	0.59130	0.59370	0.58700	0.58800	3938	0	50
2000.07.28	0.58790	0.59250	0.58570	0.58780	3360	0	50
2000.07.29	0.58790	0.58800	0.58780	0.58790	6	0	50
2000.07.31	0.58720	0.58740	0.57710	0.58000	4181	0	50
2000.08.01	0.58020	0.58250	0.57780	0.57860	3710	0	50
2000.08.02	0.57870	0.58510	0.57590	0.58360	3625	0	50
2000.08.03	0.58350	0.58750	0.58070	0.58620	4356	0	50
2000.08.04	0.58630	0.58650	0.58090	0.58560	3905	0	50
2000.08.07	0.58650	0.58820	0.58420	0.58720	3403	0	50
2000.08.08	0.58710	0.58920	0.58230	0.58340	3533	0	50
2000.08.09	0.58330	0.58520	0.57650	0.57890	3595	0	50
2000.08.10	0.57880	0.58350	0.57770	0.58250	3560	0	50
2000.08.11	0.58260	0.58450	0.57760	0.57880	2507	0	50
2000.08.12	0.57830	0.57920	0.57800	0.57900	9	0	50
2000.08.14	0.57920	0.58260	0.57700	0.58200	3631	0	50
2000.08.15	0.58210	0.58490	0.58120	0.58290	3685	0	50
2000.08.16	0.58300	0.59180	0.58210	0.59130	4143	0	50
2000.08.17	0.59120	0.59480	0.58870	0.59290	3920	0	50
2000.08.18	0.59280	0.59470	0.58880	0.59050	3077	0	50
2000.08.19	0.59060	0.59070	0.59050	0.59050	3	0	50
2000.08.21	0.59090	0.59150	0.58770	0.58780	3204	0	50
2000.08.22	0.58790	0.59050	0.57850	0.58050	3492	0	50
2000.08.23	0.58040	0.58060	0.56670	0.57150	5001	0	50
2000.08.24	0.57210	0.57470	0.57070	0.57230	3622	0	50
2000.08.25	0.57220	0.57560	0.57040	0.57380	3571	0	50
2000.08.28	0.57330	0.57450	0.57070	0.57160	2054	0	50
2000.08.29	0.57100	0.57550	0.56870	0.56980	3138	0	50
2000.08.30	0.56970	0.57650	0.56820	0.57580	3813	0	50
2000.08.31	0.57590	0.57830	0.57280	0.57700	3788	0	50
2000.09.01	0.57690	0.57940	0.57070	0.57740	3835	0	50
2000.09.02	0.57650	0.57650	0.57620	0.57620	2	0	50
2000.09.04	0.57650	0.57850	0.57460	0.57470	2155	0	50
2000.09.05	0.57550	0.57600	0.56820	0.56900	3785	0	50
2000.09.06	0.56910	0.57020	0.56110	0.56370	4628	0	50
2000.09.07	0.56380	0.56570	0.55260	0.55720	5422	0	50
2000.09.08	0.55820	0.56170	0.55520	0.55610	4101	0	50
2000.09.09	0.55570	0.55620	0.55520	0.55520	13	0	50
2000.09.11	0.55660	0.56250	0.55520	0.56220	3802	0	50
2000.09.12	0.56180	0.56220	0.55570	0.55800	4533	0	50
2000.09.13	0.55750	0.55920	0.55230	0.55430	4023	0	50
2000.09.14	0.55420	0.55470	0.54820	0.54880	3345	0	50
2000.09.15	0.54840	0.55200	0.54450	0.54470	2784	0	50
2000.09.16	0.54520	0.54520	0.54420	0.54440	10	0	50
2000.09.18	0.54540	0.54590	0.54020	0.54150	3241	0	50
2000.09.19	0.54230	0.54480	0.54120	0.54410	3157	0	50
2000.09.20	0.54420	0.54550	0.53630	0.53850	3697	0	50
2000.09.21	0.53840	0.54500	0.53720	0.54460	3327	0	50
2000.09.22	0.54440	0.56010	0.54190	0.54450	3835	0	50
2000.09.23	0.54400	0.54400	0.54400	0.54400	1	0	50
2000.09.25	0.54920	0.55070	0.54310	0.54890	3235	0	50
2000.09.26	0.54850	0.55180	0.54640	0.54870	3151	0	50
2000.09.27	0.54860	0.55210	0.54700	0.55070	3108	0	50
2000.09.28	0.55060	0.55150	0.54390	0.54520	2974	0	50
2000.09.29	0.54500	0.54550	0.53890	0.54270	3231	0	50
2000.09.30	0.54300	0.54350	0.54240	0.54350	6	0	50
2000.10.02	0.54280	0.54810	0.54020	0.54650	2509	0	50
2000.10.03	0.54660	0.54700	0.53940	0.54020	2532	0	50
2000.10.04	0.54010	0.54140	0.53410	0.53800	2969	0	50
2000.10.05	0.53810	0.53880	0.53430	0.53450	2730	0	50
2000.10.06	0.53430	0.53650	0.52900	0.53350	3123	0	50
2000.10.07	0.53340	0.53340	0.53300	0.53300	2	0	50
2000.10.09	0.53380	0.53750	0.53310	0.53630	1983	0	50
2000.10.10	0.53620	0.53750	0.52970	0.53430	3121	0	50
2000.10.11	0.53450	0.53760	0.53330	0.53420	3013	0	50
2000.10.12	0.53440	0.53450	0.52910	0.53120	3050	0	50
2000.10.13	0.53090	0.53350	0.52650	0.52780	3082	0	50
2000.10.14	0.52790	0.52870	0.52700	0.52740	57	0	50
2000.10.16	0.52830	0.52940	0.52190	0.52270	3238	0	50
2000.10.17	0.52260	0.52450	0.51650	0.52000	3346	0	50
2000.10.18	0.52010	0.52300	0.51550	0.52080	3408	0	50
2000.10.19	0.52050	0.52260	0.51750	0.52180	3055	0	50
2000.10.20	0.52190	0.53020	0.52120	0.52920	3633	0	50
2000.10.21	0.52950	0.52950	0.52900	0.52950	19	0	50
2000.10.23	0.53160	0.53220	0.52550	0.52650	3394	0	50
2000.10.24	0.52630	0.53120	0.52450	0.52520	4013	0	50
2000.10.25	0.52490	0.52850	0.51670	0.52040	4637	0	50
2000.10.26	0.52000	0.52200	0.51460	0.52140	3757	0	50
2000.10.27	0.52150	0.52500	0.51830	0.52300	3419	0	50
2000.10.28	0.52350	0.52400	0.52300	0.52310	8	0	50
2000.10.30	0.52330	0.52790	0.52220	0.52350	3738	0	50
2000.10.31	0.52330	0.52400	0.51100	0.52150	4503	0	50
2000.11.01	0.52140	0.52670	0.51650	0.52580	3580	0	50
2000.11.02	0.52550	0.53400	0.51770	0.52080	4774	0	50
2000.11.03	0.52080	0.53130	0.52000	0.52620	4347	0	50
2000.11.04	0.52550	0.52600	0.52550	0.52600	19	0	50
2000.11.06	0.52720	0.52980	0.52550	0.52820	3839	0	50
2000.11.07	0.52800	0.53000	0.52490	0.52890	3898	0	50
2000.11.08	0.52880	0.53270	0.52590	0.52640	3791	0	50
2000.11.09	0.52620	0.52860	0.52220	0.52730	3545	0	50
2000.11.10	0.52720	0.52950	0.51860	0.51920	3779	0	50
2000.11.11	0.51930	0.51950	0.51850	0.51870	43	0	50
2000.11.13	0.51930	0.52190	0.51870	0.52050	3031	0	50
2000.11.14	0.51970	0.52250	0.51820	0.51910	3097	0	50
2000.11.15	0.51890	0.52420	0.51740	0.52070	3814	0	50
2000.11.16	0.52070	0.52170	0.51770	0.52060	2726	0	50
2000.11.17	0.52040	0.52170	0.51820	0.51910	3011	0	50
2000.11.18	0.51870	0.51910	0.51820	0.51860	40	0	50
2000.11.20	0.51890	0.51990	0.51260	0.51460	3279	0	50
2000.11.21	0.51450	0.51490	0.50880	0.51010	3803	0	50
2000.11.22	0.51000	0.52790	0.50690	0.52520	5374	0	50
2000.11.23	0.52510	0.52870	0.51950	0.52210	4003	0	50
2000.11.24	0.52200	0.52480	0.51830	0.52320	4120	0	50
2000.11.25	0.52310	0.52330	0.52310	0.52320	3	0	50
2000.11.27	0.52120	0.52780	0.51900	0.52680	3120	0	50
2000.11.28	0.52630	0.52800	0.52120	0.52210	3620	0	50
2000.11.29	0.52190	0.52780	0.52050	0.52190	4107	0	50
2000.11.30	0.52180	0.52930	0.52010	0.52870	3755	0	50
2000.12.01	0.52880	0.53970	0.52750	0.53860	4808	0	50
2000.12.02	0.53810	0.53890	0.53740	0.53770	12	0	50
2000.12.04	0.53670	0.54780	0.53660	0.54330	4248	0	50
