<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.01	1.00610	1.00620	1.00610	1.00620	2	0	50
2000.01.03	1.00730	1.02780	1.00540	1.02430	6572	0	50
2000.01.04	1.02440	1.03400	1.02130	1.02960	7254	0	50
2000.01.05	1.02960	1.04020	1.02840	1.03200	6556	0	50
2000.01.06	1.03200	1.04150	1.02720	1.03270	7295	0	50
2000.01.07	1.03260	1.03340	1.02600	1.02950	5771	0	50
2000.01.08	1.02920	1.03000	1.02920	1.02980	15	0	50
2000.01.10	1.02860	1.03050	1.02110	1.02560	6083	0	50
2000.01.11	1.02570	1.03410	1.02460	1.03310	6648	0	50
2000.01.12	1.03360	1.03700	1.02610	1.03120	6893	0	50
2000.01.13	1.03110	1.03180	1.02370	1.02580	6221	0	50
2000.01.14	1.02570	1.02750	1.01140	1.01210	6155	0	50
2000.01.15	1.01220	1.01330	1.01160	1.01220	63	0	50
2000.01.17	1.01290	1.01480	1.00690	1.01220	5605	0	50
2000.01.18	1.01230	1.01420	1.00720	1.01370	6699	0	50
2000.01.19	1.01370	1.01650	1.00850	1.01320	6441	0	50
2000.01.20	1.01330	1.01880	1.00730	1.01690	6755	0	50
2000.01.21	1.01680	1.01930	1.00500	1.00940	7746	0	50
2000.01.22	1.00970	1.01010	1.00870	1.00870	14	0	50
2000.01.24	1.00280	1.00770	0.99970	1.00730	6325	0	50
2000.01.25	1.00720	1.00960	0.99920	1.00090	5958	0	50
2000.01.26	1.00090	1.00550	0.99950	1.00180	7110	0	50
2000.01.27	1.00190	1.00300	0.98680	0.98820	7323	0	50
2000.01.28	0.98810	0.98950	0.97360	0.97470	6874	0	50
2000.01.29	0.97480	0.97660	0.97440	0.97490	77	0	50
2000.01.31	0.97730	0.98290	0.96670	0.97080	6263	0	50
2000.02.01	0.97080	0.97820	0.96670	0.97130	6749	0	50
2000.02.02	0.97120	0.98080	0.96940	0.97660	6750	0	50
2000.02.03	0.97650	0.99470	0.97100	0.99040	7615	0	50
2000.02.04	0.99040	0.99400	0.97470	0.98320	7458	0	50
2000.02.05	0.98310	0.98450	0.98300	0.98400	77	0	50
2000.02.07	0.98320	0.98320	0.97540	0.98150	5592	0	50
2000.02.08	0.98140	0.99140	0.97860	0.98550	6815	0	50
2000.02.09	0.98570	0.99710	0.98500	0.99430	7487	0	50
2000.02.10	0.99430	0.99620	0.98310	0.98550	7057	0	50
2000.02.11	0.98560	0.98790	0.97860	0.98740	6393	0	50
2000.02.12	0.98750	0.98860	0.98750	0.98840	20	0	50
2000.02.14	0.98770	0.99160	0.97760	0.97800	6122	0	50
2000.02.15	0.97810	0.98620	0.97630	0.98120	6543	0	50
2000.02.16	0.98150	0.98780	0.97900	0.98630	5580	0	50
2000.02.17	0.98620	0.99580	0.98370	0.98780	6290	0	50
2000.02.18	0.98780	0.99020	0.98090	0.98370	6107	0	50
2000.02.19	0.98390	0.98470	0.98380	0.98450	20	0	50
2000.02.21	0.98540	0.98890	0.98430	0.98750	5335	0	50
2000.02.22	0.98760	1.00810	0.98710	1.00390	6379	0	50
2000.02.23	1.00380	1.00890	1.00110	1.00360	5791	0	50
2000.02.24	1.00360	1.00420	0.98880	0.99190	6365	0	50
2000.02.25	0.99230	0.99300	0.97220	0.97480	6684	0	50
2000.02.26	0.97490	0.97490	0.97420	0.97460	16	0	50
2000.02.28	0.97280	0.97330	0.94010	0.97100	7537	0	50
2000.02.29	0.97090	0.98720	0.96220	0.96440	7639	0	50
2000.03.01	0.96410	0.97670	0.96260	0.97290	7139	0	50
2000.03.02	0.97280	0.97930	0.96150	0.96550	7903	0	50
2000.03.03	0.96570	0.96780	0.95770	0.95870	7166	0	50
2000.03.04	0.95890	0.96070	0.95870	0.96070	13	0	50
2000.03.06	0.95670	0.96720	0.95590	0.95850	6446	0	50
2000.03.07	0.95860	0.96240	0.95250	0.95830	7208	0	50
2000.03.08	0.95840	0.96310	0.95210	0.96090	7313	0	50
2000.03.09	0.96100	0.96980	0.95950	0.96680	7157	0	50
2000.03.10	0.96690	0.96900	0.95990	0.96370	6954	0	50
2000.03.11	0.96360	0.96400	0.96360	0.96390	9	0	50
2000.03.13	0.96270	0.97300	0.96160	0.96360	6671	0	50
2000.03.14	0.96370	0.96920	0.95900	0.96850	6781	0	50
2000.03.15	0.96840	0.97140	0.96400	0.96650	6719	0	50
2000.03.16	0.96640	0.97400	0.96460	0.96940	6689	0	50
2000.03.17	0.96950	0.97300	0.96570	0.97190	6450	0	50
2000.03.18	0.97210	0.97320	0.97200	0.97290	48	0	50
2000.03.20	0.97250	0.97460	0.96840	0.97300	6040	0	50
2000.03.21	0.97270	0.97400	0.96070	0.96170	6639	0	50
2000.03.22	0.96160	0.96320	0.95730	0.96110	6830	0	50
2000.03.23	0.96090	0.97300	0.96010	0.97150	6293	0	50
2000.03.24	0.97160	0.97800	0.96720	0.97780	7208	0	50
2000.03.25	0.97770	0.97850	0.97770	0.97850	21	0	50
2000.03.27	0.97740	0.97900	0.96320	0.96650	6598	0	50
2000.03.28	0.96680	0.97020	0.96000	0.96050	7321	0	50
2000.03.29	0.96080	0.96140	0.94780	0.95160	7407	0	50
2000.03.30	0.95150	0.96240	0.95020	0.96090	6839	0	50
2000.03.31	0.96090	0.96320	0.95280	0.95620	6858	0	50
