<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	1.61460	1.64000	1.61380	1.63610	4400	0	50
2000.01.04	1.63590	1.64150	1.63100	1.63590	6056	0	50
2000.01.05	1.63600	1.64500	1.63540	1.64280	6489	0	50
2000.01.06	1.64260	1.65110	1.64110	1.64710	6507	0	50
2000.01.07	1.64740	1.64990	1.63600	1.63920	4816	0	50
2000.01.08	1.63930	1.63980	1.63930	1.63940	4	0	50
2000.01.10	1.63870	1.63960	1.63320	1.63710	6307	0	50
2000.01.11	1.63720	1.64920	1.63590	1.64740	6270	0	50
2000.01.12	1.64750	1.65090	1.64510	1.64670	6913	0	50
2000.01.13	1.64660	1.65010	1.63990	1.64720	6387	0	50
2000.01.14	1.64710	1.64810	1.63130	1.63130	5912	0	50
2000.01.15	1.63360	1.63580	1.63310	1.63530	21	0	50
2000.01.17	1.63450	1.63890	1.62970	1.63320	5537	0	50
2000.01.18	1.63340	1.63930	1.63110	1.63820	6397	0	50
2000.01.19	1.63780	1.64550	1.63600	1.64490	6248	0	50
2000.01.20	1.64490	1.65750	1.64200	1.65380	6511	0	50
2000.01.21	1.65350	1.65810	1.64760	1.64870	6375	0	50
2000.01.22	1.64860	1.64940	1.64860	1.64880	5	0	50
2000.01.24	1.64640	1.65600	1.64640	1.65290	5806	0	50
2000.01.25	1.65340	1.65440	1.64300	1.64490	5746	0	50
2000.01.26	1.64520	1.64710	1.63540	1.64010	6252	0	50
2000.01.27	1.64020	1.64110	1.63420	1.63930	6169	0	50
2000.01.28	1.63940	1.63990	1.61550	1.62000	6807	0	50
2000.01.29	1.62010	1.62050	1.61880	1.61950	33	0	50
2000.01.31	1.62210	1.62610	1.61270	1.61620	6123	0	50
2000.02.01	1.61630	1.61800	1.60980	1.61470	6446	0	50
2000.02.02	1.61530	1.61560	1.60220	1.60880	6261	0	50
2000.02.03	1.60870	1.60980	1.59400	1.59750	7423	0	50
2000.02.04	1.59740	1.60250	1.58300	1.59180	8273	0	50
2000.02.05	1.59190	1.59250	1.59160	1.59160	13	0	50
2000.02.07	1.59100	1.59930	1.58840	1.59810	6390	0	50
2000.02.08	1.59790	1.61370	1.59670	1.61090	7528	0	50
2000.02.09	1.61100	1.61770	1.60590	1.61660	8428	0	50
2000.02.10	1.61690	1.61770	1.60490	1.60970	8122	0	50
2000.02.11	1.60910	1.61040	1.58700	1.59380	8248	0	50
2000.02.12	1.59360	1.59480	1.59330	1.59440	13	0	50
2000.02.14	1.59300	1.59730	1.58560	1.58620	7102	0	50
2000.02.15	1.58670	1.59830	1.58420	1.59590	7409	0	50
2000.02.16	1.59610	1.60890	1.59410	1.60790	6767	0	50
2000.02.17	1.60760	1.61400	1.60230	1.60890	7140	0	50
2000.02.18	1.60850	1.61060	1.59510	1.60130	6482	0	50
2000.02.19	1.60160	1.60210	1.60120	1.60210	21	0	50
2000.02.21	1.60010	1.60250	1.59720	1.60020	6194	0	50
2000.02.22	1.59980	1.61960	1.59950	1.61250	7357	0	50
2000.02.23	1.61270	1.61660	1.60150	1.60390	6926	0	50
2000.02.24	1.60390	1.60600	1.59690	1.60050	7404	0	50
2000.02.25	1.60040	1.60130	1.58850	1.59510	7166	0	50
2000.02.26	1.59530	1.59580	1.59490	1.59490	7	0	50
2000.02.28	1.59050	1.59770	1.58560	1.59520	6778	0	50
2000.02.29	1.59460	1.60230	1.57750	1.57940	7526	0	50
2000.03.01	1.57910	1.59230	1.57520	1.58560	7572	0	50
2000.03.02	1.58550	1.58870	1.57540	1.57650	7721	0	50
2000.03.03	1.57620	1.58420	1.57510	1.57770	7092	0	50
2000.03.04	1.57800	1.57800	1.57700	1.57750	5	0	50
2000.03.06	1.57970	1.58250	1.57100	1.57490	6388	0	50
2000.03.07	1.57480	1.58230	1.56920	1.58060	7208	0	50
2000.03.08	1.58040	1.58770	1.57410	1.58120	7326	0	50
2000.03.09	1.58140	1.58480	1.57770	1.58240	7124	0	50
2000.03.10	1.58250	1.58410	1.57530	1.57660	6554	0	50
2000.03.11	1.57650	1.57720	1.57650	1.57680	6	0	50
2000.03.13	1.57730	1.58330	1.57490	1.57880	7033	0	50
2000.03.14	1.57850	1.58000	1.56780	1.57740	7452	0	50
2000.03.15	1.57770	1.57950	1.56960	1.57260	7461	0	50
2000.03.16	1.57320	1.57800	1.56890	1.57530	7030	0	50
2000.03.17	1.57540	1.57710	1.56980	1.57460	7788	0	50
2000.03.18	1.57480	1.57760	1.57460	1.57630	56	0	50
2000.03.20	1.57540	1.57570	1.56500	1.56880	7751	0	50
2000.03.21	1.56890	1.57760	1.56620	1.57160	6934	0	50
2000.03.22	1.57150	1.58060	1.56140	1.57910	7807	0	50
2000.03.23	1.57900	1.59030	1.57480	1.58640	7410	0	50
2000.03.24	1.58670	1.59570	1.58380	1.59430	7199	0	50
2000.03.25	1.59410	1.59560	1.59410	1.59560	10	0	50
2000.03.27	1.59290	1.60080	1.58370	1.58740	7168	0	50
2000.03.28	1.58710	1.59060	1.58220	1.58890	7500	0	50
2000.03.29	1.58890	1.59730	1.58110	1.59370	7879	0	50
2000.03.30	1.59320	1.59780	1.58720	1.59540	7521	0	50
2000.03.31	1.59580	1.59870	1.59000	1.59350	7230	0	50
2000.04.01	1.59320	1.59330	1.59060	1.59110	106	0	50
