<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	0.52450	0.52760	0.52090	0.52490	717	0	40
2000.01.04	0.52490	0.52700	0.51910	0.51930	1309	0	40
2000.01.05	0.51970	0.52130	0.51710	0.52040	1405	0	40
2000.01.06	0.52070	0.52070	0.51310	0.51360	1501	0	40
2000.01.07	0.51410	0.51880	0.51320	0.51750	995	0	40
2000.01.10	0.51630	0.51790	0.51430	0.51560	1425	0	40
2000.01.11	0.51580	0.51810	0.51520	0.51710	1166	0	40
2000.01.12	0.51680	0.51970	0.51650	0.51910	1184	0	40
2000.01.13	0.51890	0.52470	0.51860	0.52350	1406	0	40
2000.01.14	0.52400	0.52400	0.52030	0.52120	1094	0	40
2000.01.15	0.52160	0.52160	0.52160	0.52160	1	0	80
2000.01.17	0.52070	0.52130	0.51700	0.51960	1036	0	40
2000.01.18	0.51950	0.52200	0.51570	0.51740	1350	0	40
2000.01.19	0.51700	0.51860	0.51360	0.51420	1351	0	40
2000.01.20	0.51440	0.51610	0.51220	0.51410	1314	0	40
2000.01.21	0.51470	0.51630	0.50980	0.51140	1430	0	40
2000.01.24	0.50880	0.51100	0.50570	0.50720	1638	0	40
2000.01.25	0.50650	0.51130	0.50620	0.50830	1373	0	40
2000.01.26	0.50860	0.51030	0.50600	0.50760	1247	0	40
2000.01.27	0.50840	0.51300	0.50440	0.50630	1783	0	40
2000.01.28	0.50500	0.50620	0.48440	0.49120	2039	0	40
2000.01.31	0.49410	0.49690	0.49080	0.49570	1401	0	40
2000.02.01	0.49540	0.49760	0.48990	0.49250	1182	0	40
2000.02.02	0.49260	0.49670	0.48750	0.49330	1648	0	40
2000.02.03	0.49320	0.50060	0.49030	0.49530	2246	0	40
2000.02.04	0.49500	0.49730	0.48870	0.49620	1920	0	40
2000.02.05	0.49640	0.49640	0.49640	0.49640	1	0	80
2000.02.07	0.49590	0.49800	0.49270	0.49400	1775	0	40
2000.02.08	0.49390	0.49590	0.49120	0.49210	1690	0	40
2000.02.09	0.49220	0.49630	0.48910	0.49390	1964	0	40
2000.02.10	0.49400	0.49510	0.48840	0.49140	1864	0	40
2000.02.11	0.49130	0.49390	0.48840	0.49100	1295	0	40
2000.02.14	0.49260	0.49540	0.48550	0.48560	1416	0	40
2000.02.15	0.48610	0.48870	0.48320	0.48700	1819	0	40
2000.02.16	0.48690	0.49360	0.48690	0.49260	1773	0	40
2000.02.17	0.49290	0.49590	0.49070	0.49400	1889	0	40
2000.02.18	0.49400	0.49470	0.49070	0.49090	1269	0	40
2000.02.21	0.49040	0.49140	0.48740	0.48810	1580	0	40
2000.02.22	0.48850	0.49310	0.48690	0.49090	1927	0	40
2000.02.23	0.49090	0.49090	0.48400	0.48930	1928	0	40
2000.02.24	0.48950	0.49090	0.48430	0.48700	2054	0	40
2000.02.25	0.48690	0.48980	0.48580	0.48770	1753	0	40
2000.02.28	0.48790	0.48810	0.48250	0.48620	1174	0	40
2000.02.29	0.48600	0.49050	0.48420	0.48930	1660	0	40
2000.03.01	0.48950	0.49270	0.47970	0.48770	2394	0	40
2000.03.02	0.48760	0.49230	0.48640	0.48720	2244	0	40
2000.03.03	0.48710	0.49270	0.48680	0.48920	1833	0	40
2000.03.06	0.48940	0.49060	0.48040	0.48300	1786	0	40
2000.03.07	0.48240	0.48530	0.48120	0.48440	1875	0	40
2000.03.08	0.48450	0.48900	0.48110	0.48830	1952	0	40
2000.03.09	0.48810	0.49510	0.48730	0.49350	1744	0	40
2000.03.10	0.49360	0.49710	0.49260	0.49370	1389	0	40
2000.03.13	0.49240	0.49520	0.49080	0.49380	1583	0	40
2000.03.14	0.49390	0.49400	0.48620	0.48730	1421	0	40
2000.03.15	0.48720	0.49150	0.48510	0.48930	1544	0	40
2000.03.16	0.48920	0.49150	0.48720	0.48850	1335	0	40
2000.03.17	0.48820	0.48950	0.48300	0.48480	1344	0	40
2000.03.18	0.48470	0.48470	0.48470	0.48470	1	0	80
2000.03.20	0.48470	0.48830	0.48220	0.48760	1905	0	40
2000.03.21	0.48740	0.49130	0.48660	0.48990	1799	0	40
2000.03.22	0.48950	0.49030	0.48590	0.48680	1730	0	40
2000.03.23	0.48690	0.49060	0.48520	0.48910	1593	0	40
2000.03.24	0.48900	0.49000	0.48630	0.48950	1416	0	40
2000.03.27	0.49030	0.50170	0.48810	0.49850	1830	0	40
