<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	1.44630	1.44850	1.44070	1.44690	2397	0	50
2000.01.04	1.44680	1.45360	1.44380	1.45260	3017	0	50
2000.01.05	1.45270	1.45610	1.44830	1.44970	3364	0	50
2000.01.06	1.44990	1.46030	1.44860	1.45990	3608	0	50
2000.01.07	1.45980	1.46170	1.45560	1.45600	2706	0	50
2000.01.08	1.45580	1.45610	1.45580	1.45610	12	0	50
2000.01.10	1.45640	1.45880	1.45300	1.45590	2926	0	50
2000.01.11	1.45580	1.45930	1.45440	1.45750	3300	0	50
2000.01.12	1.45720	1.45790	1.45140	1.45420	3488	0	50
2000.01.13	1.45380	1.45460	1.44840	1.45070	2922	0	50
2000.01.14	1.45100	1.45200	1.44520	1.44990	2613	0	50
2000.01.15	1.45010	1.45010	1.44910	1.44910	2	0	50
2000.01.17	1.45030	1.45250	1.44870	1.44940	1748	0	50
2000.01.18	1.44940	1.45210	1.44690	1.45070	3257	0	50
2000.01.19	1.45050	1.45340	1.44810	1.45200	3144	0	50
2000.01.20	1.45210	1.45300	1.44350	1.44690	3118	0	50
2000.01.21	1.44660	1.44930	1.43750	1.44180	3239	0	50
2000.01.22	1.44150	1.44210	1.44060	1.44110	14	0	50
2000.01.24	1.44030	1.44380	1.43760	1.44370	3172	0	50
2000.01.25	1.44380	1.44430	1.43610	1.43610	3425	0	50
2000.01.26	1.43630	1.44210	1.43600	1.43980	3615	0	50
2000.01.27	1.43960	1.44020	1.43200	1.43450	3196	0	50
2000.01.28	1.43450	1.45090	1.43220	1.44610	4311	0	50
2000.01.29	1.44650	1.44650	1.44510	1.44510	47	0	50
2000.01.31	1.44540	1.45190	1.44400	1.44790	3355	0	50
2000.02.01	1.44780	1.45450	1.44440	1.44870	3456	0	50
2000.02.02	1.44860	1.45480	1.43600	1.43640	4132	0	50
2000.02.03	1.43630	1.44380	1.43540	1.44150	4370	0	50
2000.02.04	1.44170	1.44770	1.43940	1.44050	4035	0	50
2000.02.05	1.44030	1.44040	1.43860	1.43950	22	0	50
2000.02.07	1.44050	1.44870	1.43660	1.44860	3159	0	50
2000.02.08	1.44870	1.45070	1.44370	1.44410	3402	0	50
2000.02.09	1.44400	1.44780	1.44100	1.44370	4397	0	50
2000.02.10	1.44410	1.45370	1.44340	1.44810	4563	0	50
2000.02.11	1.44800	1.45300	1.44470	1.45030	3031	0	50
2000.02.12	1.45020	1.45030	1.45000	1.45030	5	0	50
2000.02.14	1.44930	1.45790	1.44720	1.45720	2536	0	50
2000.02.15	1.45680	1.45970	1.45490	1.45590	3217	0	50
2000.02.16	1.45600	1.45850	1.44930	1.45270	3660	0	50
2000.02.17	1.45330	1.45450	1.44960	1.45050	3280	0	50
2000.02.18	1.45050	1.45170	1.44720	1.45050	3112	0	50
2000.02.19	1.45090	1.45090	1.44900	1.44900	15	0	50
2000.02.21	1.45060	1.45600	1.44870	1.45510	2595	0	50
2000.02.22	1.45500	1.46390	1.45400	1.46150	3506	0	50
2000.02.23	1.46190	1.46680	1.45950	1.46000	3195	0	50
2000.02.24	1.45980	1.46390	1.45340	1.45350	3672	0	50
2000.02.25	1.45340	1.45570	1.44730	1.44730	3722	0	50
2000.02.26	1.44750	1.44950	1.44730	1.44950	7	0	50
2000.02.28	1.44900	1.45700	1.44740	1.45230	3536	0	50
2000.02.29	1.45180	1.45500	1.44800	1.44970	3530	0	50
2000.03.01	1.44990	1.45390	1.44340	1.44980	4052	0	50
2000.03.02	1.44970	1.45900	1.44610	1.45700	4192	0	50
2000.03.03	1.45660	1.45840	1.45000	1.45050	3625	0	50
2000.03.04	1.45110	1.45370	1.45040	1.45040	26	0	50
2000.03.06	1.45080	1.45730	1.44870	1.45400	3355	0	50
2000.03.07	1.45340	1.45580	1.45080	1.45550	3384	0	50
2000.03.08	1.45500	1.46220	1.45430	1.45640	4053	0	50
2000.03.09	1.45630	1.45870	1.45420	1.45770	3370	0	50
2000.03.10	1.45700	1.46000	1.45350	1.45770	3115	0	50
2000.03.11	1.45760	1.45760	1.45710	1.45730	4	0	50
2000.03.13	1.45710	1.46230	1.45650	1.46150	2791	0	50
2000.03.14	1.46160	1.46590	1.45920	1.46510	3612	0	50
2000.03.15	1.46500	1.46980	1.46240	1.46730	3716	0	50
2000.03.16	1.46750	1.47480	1.46520	1.47380	3388	0	50
2000.03.17	1.47390	1.47730	1.46920	1.46920	4426	0	50
2000.03.18	1.46890	1.47180	1.46870	1.46960	55	0	50
2000.03.20	1.47040	1.47150	1.46740	1.46920	3654	0	50
2000.03.21	1.46910	1.47270	1.46550	1.46960	3726	0	50
2000.03.22	1.46940	1.47250	1.46690	1.47060	3495	0	50
2000.03.23	1.47040	1.47670	1.46770	1.46910	3939	0	50
2000.03.24	1.46900	1.47000	1.46150	1.46210	3405	0	50
2000.03.25	1.46220	1.46230	1.46210	1.46220	4	0	50
