<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	1.59340	1.59800	1.56160	1.56700	6526	0	60
2000.01.04	1.56690	1.57040	1.55020	1.55740	7631	0	60
2000.01.05	1.55730	1.55950	1.54240	1.55520	8088	0	60
2000.01.06	1.55510	1.56130	1.54290	1.55320	9303	0	60
2000.01.07	1.55330	1.56670	1.55070	1.56460	5988	0	60
2000.01.10	1.56420	1.57550	1.56190	1.56910	6507	0	60
2000.01.11	1.56920	1.57090	1.55800	1.55820	7493	0	60
2000.01.12	1.55830	1.56870	1.55240	1.56260	7757	0	60
2000.01.13	1.56200	1.57430	1.56180	1.57130	7032	0	60
2000.01.14	1.57180	1.59650	1.56940	1.59450	7320	0	60
2000.01.15	1.59460	1.59460	1.59460	1.59460	1	0	60
2000.01.17	1.59380	1.60350	1.58960	1.59570	7070	0	60
2000.01.18	1.59560	1.60150	1.59080	1.59130	8138	0	60
2000.01.19	1.59100	1.59970	1.58730	1.59300	7045	0	60
2000.01.20	1.59320	1.60360	1.58230	1.58410	7398	0	60
2000.01.21	1.58450	1.60260	1.58040	1.59620	8115	0	60
2000.01.22	1.59560	1.59720	1.59550	1.59720	9	0	60
2000.01.24	1.60790	1.61350	1.59940	1.59990	7185	0	60
2000.01.25	1.59980	1.61400	1.59570	1.61110	7682	0	60
2000.01.26	1.61090	1.61350	1.60340	1.60960	8407	0	60
2000.01.27	1.60980	1.63460	1.60650	1.63290	8198	0	60
2000.01.28	1.63260	1.65510	1.63030	1.65090	9208	0	60
2000.01.29	1.64610	1.65090	1.64610	1.64810	50	0	60
2000.01.31	1.64730	1.66280	1.63770	1.65700	7620	0	60
2000.02.01	1.65680	1.66210	1.64520	1.65710	9139	0	60
2000.02.02	1.65720	1.66110	1.64440	1.64950	8934	0	60
2000.02.03	1.65010	1.65940	1.61650	1.62400	10045	0	60
2000.02.04	1.62300	1.64880	1.61660	1.63470	10369	0	60
2000.02.05	1.63490	1.63560	1.63220	1.63360	54	0	60
2000.02.07	1.63270	1.64640	1.63260	1.63760	5668	0	60
2000.02.08	1.63750	1.64110	1.62120	1.63150	7034	0	60
2000.02.09	1.63180	1.63250	1.61430	1.61840	7962	0	60
2000.02.10	1.61830	1.63250	1.61570	1.63010	7624	0	60
2000.02.11	1.62990	1.64020	1.62470	1.62540	8557	0	60
2000.02.12	1.62520	1.62580	1.62510	1.62540	4	0	60
2000.02.14	1.62550	1.64480	1.61940	1.64430	5701	0	60
2000.02.15	1.64370	1.64450	1.62780	1.63700	7120	0	60
2000.02.16	1.63700	1.64000	1.62440	1.62630	6171	0	60
2000.02.17	1.62620	1.63070	1.61080	1.62450	7134	0	60
2000.02.18	1.62430	1.63500	1.62000	1.63070	6567	0	60
2000.02.19	1.62900	1.63020	1.62680	1.62680	10	0	60
2000.02.21	1.62670	1.62850	1.62180	1.62300	6110	0	60
2000.02.22	1.62330	1.62410	1.59500	1.60160	7686	0	60
2000.02.23	1.60150	1.61000	1.59510	1.60590	6489	0	60
2000.02.24	1.60560	1.62840	1.60490	1.62160	8023	0	60
2000.02.25	1.62070	1.65400	1.62070	1.65020	8232	0	60
2000.02.26	1.64910	1.65110	1.64910	1.65090	4	0	60
2000.02.28	1.65270	1.70000	1.65090	1.65480	10028	0	60
2000.02.29	1.65440	1.67000	1.63340	1.66550	11267	0	60
2000.03.01	1.66530	1.66900	1.64580	1.65210	9192	0	60
2000.03.02	1.65170	1.67110	1.64220	1.66470	10551	0	60
2000.03.03	1.66480	1.67530	1.65970	1.67420	9030	0	60
2000.03.04	1.67610	1.67610	1.67610	1.67610	1	0	60
2000.03.06	1.67870	1.67980	1.66190	1.67630	7288	0	60
2000.03.07	1.67720	1.68680	1.67080	1.67660	8967	0	60
2000.03.08	1.67640	1.68650	1.66800	1.67180	9358	0	60
2000.03.09	1.67160	1.67350	1.65680	1.66250	9201	0	60
2000.03.10	1.66230	1.67510	1.65860	1.67000	8281	0	60
2000.03.11	1.67010	1.67110	1.66950	1.67040	19	0	60
2000.03.13	1.67170	1.67430	1.65540	1.67210	8176	0	60
2000.03.14	1.67150	1.67980	1.66310	1.66400	8787	0	60
2000.03.15	1.66390	1.67170	1.65960	1.66840	8705	0	60
2000.03.16	1.66820	1.67140	1.65370	1.66310	9213	0	60
2000.03.17	1.66250	1.67010	1.65650	1.65760	8763	0	60
2000.03.18	1.65750	1.65750	1.65750	1.65750	1	0	60
2000.03.20	1.65730	1.66520	1.65400	1.65650	8185	0	60
2000.03.21	1.65670	1.67760	1.65490	1.67570	8631	0	60
2000.03.22	1.67580	1.68320	1.67100	1.67470	8824	0	60
2000.03.23	1.67430	1.67610	1.64440	1.64610	8241	0	60
2000.03.24	1.64620	1.65010	1.62270	1.62320	9323	0	60
2000.03.25	1.62360	1.62410	1.62310	1.62390	12	0	60
2000.03.27	1.62370	1.64920	1.62100	1.64350	7626	0	60
2000.03.28	1.64380	1.65710	1.63850	1.65580	9670	0	60
2000.03.29	1.65680	1.68020	1.65470	1.67470	10253	0	60
2000.03.30	1.67500	1.67660	1.65580	1.65800	9666	0	60
2000.03.31	1.65780	1.67040	1.65380	1.66410	9069	0	60
2000.04.01	1.66400	1.66690	1.66190	1.66540	179	0	60
2000.04.03	1.66320	1.67260	1.64850	1.65420	6505	0	60
2000.04.04	1.65430	1.66280	1.61220	1.64230	7620	0	60
2000.04.05	1.64240	1.64400	1.62150	1.63530	10847	0	60
2000.04.06	1.63570	1.64220	1.63170	1.63940	7958	0	60
2000.04.07	1.63930	1.65070	1.63270	1.64370	7719	0	60
2000.04.08	1.64390	1.64390	1.64360	1.64360	4	0	60
2000.04.10	1.64410	1.64830	1.63350	1.63410	6908	0	60
2000.04.11	1.63430	1.64500	1.62920	1.64100	7823	0	60
2000.04.12	1.64110	1.65650	1.64070	1.64230	7772	0	60
2000.04.13	1.64230	1.65400	1.64040	1.65100	7182	0	60
2000.04.14	1.65090	1.65380	1.63150	1.63280	8029	0	60
2000.04.15	1.63310	1.63360	1.62980	1.63140	25	0	60
2000.04.17	1.62680	1.65010	1.62020	1.64880	8033	0	60
2000.04.18	1.64890	1.66930	1.64760	1.66630	8983	0	60
2000.04.19	1.66620	1.67760	1.65880	1.66850	8123	0	60
2000.04.20	1.66930	1.68050	1.66640	1.67560	8254	0	60
2000.04.21	1.67620	1.67870	1.67230	1.67530	4047	0	60
2000.04.24	1.67450	1.67760	1.66250	1.67600	5101	0	60
2000.04.25	1.67610	1.71350	1.67120	1.70710	8006	0	60
2000.04.26	1.70740	1.71470	1.70100	1.70280	9424	0	60
2000.04.27	1.70290	1.73330	1.70020	1.72760	10572	0	60
2000.04.28	1.72740	1.74010	1.71610	1.71640	9514	0	60
2000.04.29	1.71600	1.71670	1.71570	1.71670	9	0	60
2000.05.01	1.71760	1.72380	1.70500	1.70860	5244	0	60
2000.05.02	1.70840	1.72430	1.70580	1.71350	7817	0	60
2000.05.03	1.71360	1.73820	1.71150	1.72520	9994	0	60
2000.05.04	1.72490	1.74370	1.72120	1.74020	10083	0	60
2000.05.05	1.73880	1.74010	1.71490	1.73240	10489	0	60
2000.05.06	1.73230	1.73340	1.73210	1.73210	4	0	60
2000.05.08	1.73200	1.73750	1.71690	1.72660	10718	0	60
2000.05.09	1.72640	1.72990	1.71390	1.71440	9746	0	60
