<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.01	102.500	102.510	102.260	102.260	3	0	50
2000.01.03	102.140	102.260	101.390	101.480	4356	0	50
2000.01.04	101.490	103.340	101.430	103.270	6817	0	50
2000.01.05	103.290	104.470	102.800	104.290	5772	0	50
2000.01.06	104.300	105.580	103.980	105.230	6795	0	50
2000.01.07	105.220	105.920	104.870	105.360	5576	0	50
2000.01.08	105.340	105.410	105.320	105.410	8	0	50
2000.01.10	105.110	105.390	104.330	105.020	5434	0	50
2000.01.11	105.030	106.330	105.030	105.970	6956	0	50
2000.01.12	105.940	106.270	105.540	105.890	6351	0	50
2000.01.13	105.840	106.250	105.420	106.120	5707	0	50
2000.01.14	106.120	106.600	105.460	105.870	5460	0	50
2000.01.15	105.860	105.930	105.850	105.930	22	0	50
2000.01.17	105.850	105.880	104.640	104.850	4691	0	50
2000.01.18	104.860	105.740	104.780	105.690	5345	0	50
2000.01.19	105.690	106.110	105.160	105.320	5739	0	50
2000.01.20	105.340	105.720	105.170	105.470	5419	0	50
2000.01.21	105.450	105.540	104.420	104.770	6503	0	50
2000.01.22	104.780	104.860	104.610	104.860	29	0	50
2000.01.24	105.120	105.860	104.670	105.570	5673	0	50
2000.01.25	105.580	106.060	105.500	106.020	5360	0	50
2000.01.26	106.030	106.210	105.530	105.620	5691	0	50
2000.01.27	105.630	105.900	104.670	105.040	7383	0	50
2000.01.28	105.040	107.270	104.550	107.130	6313	0	50
2000.01.29	107.200	107.230	107.110	107.190	37	0	50
2000.01.31	107.060	107.540	106.590	107.360	5063	0	50
2000.02.01	107.360	107.980	107.030	107.910	5866	0	50
2000.02.02	107.900	109.070	107.730	108.130	6387	0	50
2000.02.03	108.140	108.780	107.170	107.570	6464	0	50
2000.02.04	107.580	108.060	107.120	107.190	6535	0	50
2000.02.05	107.150	107.290	107.150	107.170	56	0	50
2000.02.07	107.220	108.850	107.200	108.610	5612	0	50
2000.02.08	108.620	109.700	108.580	109.490	6919	0	50
2000.02.09	109.500	109.670	108.530	108.800	7835	0	50
2000.02.10	108.820	109.300	108.300	109.160	8206	0	50
2000.02.11	109.150	109.780	108.670	108.820	6783	0	50
2000.02.12	108.810	108.850	108.770	108.820	22	0	50
2000.02.14	108.870	109.000	108.050	108.930	5398	0	50
2000.02.15	108.940	109.340	108.460	109.210	6565	0	50
2000.02.16	109.200	109.670	108.880	109.490	6094	0	50
2000.02.17	109.480	110.680	109.300	110.550	6247	0	50
2000.02.18	110.540	111.270	110.320	110.980	5585	0	50
2000.02.19	110.990	111.110	110.850	110.980	38	0	50
2000.02.21	110.760	111.450	110.400	111.240	6117	0	50
2000.02.22	111.230	111.730	110.540	110.800	6246	0	50
2000.02.23	110.800	111.350	110.090	111.150	5492	0	50
2000.02.24	111.150	111.530	110.550	111.320	6241	0	50
2000.02.25	111.310	111.490	110.130	110.380	6134	0	50
2000.02.26	110.360	110.370	110.280	110.280	5	0	50
2000.02.28	109.620	109.880	108.320	109.620	5952	0	50
2000.02.29	109.610	110.380	109.370	110.260	6401	0	50
2000.03.01	110.240	110.350	106.550	107.250	7398	0	50
2000.03.02	107.250	107.950	106.560	107.760	8302	0	50
2000.03.03	107.760	108.080	107.300	107.860	6787	0	50
2000.03.04	107.900	108.050	107.370	107.730	23	0	50
2000.03.06	107.820	107.900	106.720	107.540	6176	0	50
2000.03.07	107.540	108.150	105.780	106.220	7161	0	50
2000.03.08	106.210	107.490	106.010	107.170	7816	0	50
2000.03.09	107.180	107.570	106.170	106.610	6752	0	50
2000.03.10	106.600	106.750	106.060	106.370	6266	0	50
2000.03.11	106.350	106.350	106.190	106.330	12	0	50
2000.03.13	106.290	106.610	104.780	105.540	6846	0	50
2000.03.14	105.540	105.930	104.610	105.200	6394	0	50
2000.03.15	105.170	106.250	104.760	105.650	6635	0	50
2000.03.16	105.660	105.810	105.090	105.440	5965	0	50
2000.03.17	105.430	106.800	105.330	106.720	6347	0	50
2000.03.18	106.730	106.770	106.640	106.740	31	0	50
2000.03.20	106.910	107.080	106.260	106.360	6914	0	50
2000.03.21	106.350	107.250	106.240	106.780	6040	0	50
2000.03.22	106.770	107.170	106.500	107.100	6270	0	50
2000.03.23	107.110	107.820	106.980	107.320	6082	0	50
2000.03.24	107.330	107.680	106.690	106.880	6130	0	50
2000.03.25	106.870	106.940	106.850	106.870	24	0	50
2000.03.27	106.860	107.170	106.600	106.700	5609	0	50
2000.03.28	106.710	106.830	105.650	105.850	6736	0	50
2000.03.29	105.860	106.350	104.970	105.730	7091	0	50
2000.03.30	105.760	105.920	104.820	105.430	6754	0	50
2000.03.31	105.420	106.080	102.030	102.830	8134	0	50
2000.04.01	102.750	102.820	102.620	102.770	171	0	50
2000.04.03	103.320	105.630	102.840	104.770	7321	0	50
2000.04.04	104.800	105.770	104.140	105.150	5702	0	50
2000.04.05	105.140	105.600	104.730	104.910	6658	0	50
2000.04.06	104.920	105.140	104.550	104.770	5794	0	50
2000.04.07	104.760	105.510	104.700	105.360	4788	0	50
2000.04.08	105.350	105.420	105.270	105.420	24	0	50
2000.04.10	105.390	106.850	105.290	106.420	5809	0	50
2000.04.11	106.410	107.150	106.270	106.960	5596	0	50
2000.04.12	106.970	106.990	105.250	105.830	6689	0	50
2000.04.13	105.840	106.150	105.600	105.900	6293	0	50
2000.04.14	105.910	106.200	104.720	104.730	6246	0	50
2000.04.15	104.740	105.030	104.740	104.800	23	0	50
2000.04.17	104.290	105.350	103.230	104.520	6683	0	50
2000.04.18	104.510	104.870	103.470	104.740	7570	0	50
2000.04.19	104.730	105.050	104.220	104.810	6621	0	50
2000.04.20	104.890	105.890	104.430	105.740	6559	0	50
2000.04.21	105.750	105.910	105.420	105.750	4417	0	50
2000.04.22	105.770	105.770	105.770	105.770	1	0	50
2000.04.24	105.820	106.010	105.060	105.800	4562	0	50
2000.04.25	105.790	106.330	105.210	106.290	6922	0	50
2000.04.26	106.270	106.800	105.520	106.280	7447	0	50
2000.04.27	106.270	106.620	105.840	106.420	7554	0	50
2000.04.28	106.410	108.310	106.350	108.150	6898	0	50
