<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	8.49040	8.50700	8.35400	8.37670	1924	0	0
2000.01.04	8.37690	8.40680	8.33770	8.38100	1342	0	0
2000.01.05	8.38330	8.39860	8.31930	8.36710	1425	0	0
2000.01.06	8.36060	8.40140	8.30130	8.37190	1890	0	0
2000.01.07	8.35210	8.43660	8.35210	8.41670	1045	0	0
2000.01.10	8.41000	8.47910	8.40900	8.44850	1018	0	0
2000.01.11	8.44800	8.45460	8.38390	8.39680	903	0	0
2000.01.12	8.39120	8.44860	8.37050	8.39830	1492	0	0
2000.01.13	8.41050	8.44500	8.39600	8.41650	921	0	0
2000.01.14	8.41350	8.49100	8.40180	8.47490	1171	0	0
2000.01.17	8.47700	8.50070	8.45600	8.46560	781	0	0
2000.01.18	8.45960	8.50600	8.45300	8.45900	1055	0	0
2000.01.19	8.44440	8.50200	8.42900	8.47550	1150	0	0
2000.01.20	8.47850	8.52700	8.43300	8.45200	1616	0	0
2000.01.21	8.46800	8.53060	8.42150	8.48440	2019	0	0
2000.01.24	8.53960	8.55500	8.49240	8.52570	1114	0	0
2000.01.25	8.49460	8.55660	8.46440	8.55660	1225	0	0
2000.01.26	8.51470	8.54500	8.48690	8.51130	1129	0	0
2000.01.27	8.52400	8.63950	8.50900	8.61310	1720	0	0
2000.01.28	8.60840	8.87630	8.60000	8.86700	2941	0	0
2000.01.31	8.85000	8.87580	8.74800	8.85600	2497	0	0
2000.02.01	8.84250	8.87770	8.75420	8.77730	1819	0	0
2000.02.02	8.77160	8.89880	8.69470	8.73360	3703	0	0
2000.02.03	8.70000	8.77200	8.55340	8.56060	2979	0	0
2000.02.04	8.56140	8.66540	8.54000	8.61990	1924	0	0
2000.02.07	8.61810	8.68210	8.60010	8.61680	1628	0	0
2000.02.08	8.63500	8.65550	8.54630	8.59400	1775	0	0
2000.02.09	8.59320	8.59710	8.52060	8.52150	814	0	0
2000.02.10	8.52800	8.62050	8.51340	8.58420	1581	0	0
2000.02.11	8.58670	8.62100	8.55660	8.57620	1184	0	0
2000.02.14	8.57500	8.67980	8.54400	8.67680	1699	0	0
2000.02.15	8.65960	8.72430	8.62610	8.68890	1672	0	0
2000.02.16	8.68210	8.72750	8.62960	8.63350	1473	0	0
2000.02.17	8.63670	8.70490	8.58350	8.64700	2326	0	0
2000.02.18	8.66160	8.69920	8.60380	8.66440	1881	0	0
2000.02.21	8.66500	8.70890	8.63500	8.67200	1409	0	0
2000.02.22	8.65630	8.65630	8.50920	8.55830	1963	0	0
2000.02.23	8.53460	8.58110	8.51800	8.55240	1085	0	0
2000.02.24	8.55120	8.65320	8.53950	8.59920	1795	0	0
2000.02.25	8.64630	8.72970	8.59770	8.67300	2374	0	0
2000.02.28	8.70000	8.92000	8.65390	8.66170	4940	0	0
2000.02.29	8.67210	8.76870	8.63460	8.74900	1914	0	0
2000.03.01	8.75040	8.77500	8.63840	8.65900	1819	0	0
2000.03.02	8.67900	8.80130	8.63290	8.77610	2398	0	0
2000.03.03	8.79250	8.82350	8.74060	8.79850	1599	0	0
2000.03.06	8.81500	8.83000	8.73720	8.79100	1617	0	0
2000.03.07	8.80230	8.83570	8.75610	8.77790	1349	0	0
2000.03.08	8.78430	8.85700	8.76000	8.81160	1668	0	0
2000.03.09	8.80600	8.80990	8.71480	8.72770	1120	0	0
2000.03.10	8.72710	8.79070	8.70810	8.71950	1577	0	0
2000.03.13	8.73370	8.75100	8.64840	8.71970	1913	0	0
2000.03.14	8.72290	8.74020	8.66320	8.66930	1005	0	0
2000.03.15	8.66720	8.74130	8.66670	8.74030	762	0	0
2000.03.16	8.74360	8.74800	8.65500	8.68520	1277	0	0
2000.03.17	8.68420	8.71450	8.63270	8.64110	1206	0	0
2000.03.20	8.64120	8.68440	8.61240	8.63730	1402	0	0
2000.03.21	8.63530	8.71150	8.62150	8.69540	1200	0	0
2000.03.22	8.71820	8.75580	8.67900	8.68140	1169	0	0
2000.03.23	8.69370	8.71190	8.62780	8.64330	1179	0	0
2000.03.24	8.63520	8.64780	8.51610	8.53080	1591	0	0
2000.03.27	8.53170	8.65790	8.52050	8.62600	1806	0	0
2000.03.28	8.62780	8.64900	8.51930	8.56390	1956	0	0
2000.03.29	8.57390	8.68430	8.55860	8.66150	1639	0	0
2000.03.30	8.65290	8.68750	8.60140	8.63050	1499	0	0
2000.03.31	8.61800	8.69310	8.61400	8.64270	1336	0	0
2000.04.03	8.63470	8.71670	8.63000	8.71310	951	0	0
2000.04.04	8.71420	8.72850	8.53660	8.62940	2991	0	0
2000.04.05	8.62950	8.66120	8.59050	8.62910	1411	0	0
2000.04.06	8.66870	8.67040	8.61240	8.65620	1036	0	0
2000.04.07	8.65720	8.68700	8.61380	8.67200	1317	0	0
2000.04.10	8.66550	8.69000	8.58220	8.58380	1340	0	0
2000.04.11	8.58280	8.66460	8.57900	8.64380	1103	0	0
2000.04.12	8.65730	8.72130	8.62430	8.69090	1605	0	0
2000.04.13	8.69010	8.72410	8.63900	8.72060	1398	0	0
2000.04.14	8.70060	8.72660	8.65330	8.66090	1070	0	0
2000.04.17	8.63660	8.74970	8.60800	8.73770	1824	0	0
2000.04.18	8.73070	8.79620	8.71110	8.74970	1513	0	0
2000.04.19	8.74860	8.80260	8.70840	8.76920	1679	0	0
2000.04.20	8.76470	8.82180	8.74480	8.79610	1227	0	0
2000.04.21	8.78640	8.81740	8.76500	8.77870	972	0	0
2000.04.24	8.77890	8.81760	8.72850	8.81070	1465	0	0
2000.04.25	8.80300	8.93860	8.77340	8.89530	2382	0	0
2000.04.26	8.89290	8.91930	8.85450	8.88460	1214	0	0
2000.04.27	8.88170	8.99810	8.85180	8.95200	2224	0	0
2000.04.28	8.93490	9.00000	8.90720	8.90770	1585	0	0
2000.05.01	8.91910	8.96850	8.87990	8.89830	1565	0	0
2000.05.02	8.89770	8.98440	8.86960	8.92130	2061	0	0
2000.05.03	8.90780	9.07630	8.90320	9.02210	2320	0	0
2000.05.04	9.01670	9.13520	9.01670	9.12210	1317	0	0
2000.05.05	9.11510	9.13190	9.03100	9.09920	1860	0	0
2000.05.08	9.10310	9.14830	9.03920	9.07360	1888	0	0
2000.05.09	9.07620	9.12290	9.00820	9.02200	1753	0	0
2000.05.10	9.02400	9.02400	9.02400	9.02400	1	0	0
2000.05.11	9.11860	9.19800	9.04800	9.18880	2299	0	0
2000.05.12	9.18200	9.18300	8.97230	8.99360	2331	0	0
2000.05.15	8.99680	9.08800	8.98490	9.07480	1283	0	0
2000.05.16	9.15080	9.15350	9.04170	9.11460	1875	0	0
2000.05.17	9.11190	9.21800	9.09440	9.13050	2287	0	0
2000.05.18	9.18310	9.20770	9.11710	9.12200	1202	0	0
2000.05.19	9.12010	9.22700	9.11290	9.14740	2010	0	0
2000.05.22	9.15320	9.25400	9.14000	9.22270	1586	0	0
2000.05.23	9.23060	9.24480	9.11100	9.19000	2271	0	0
2000.05.24	9.18880	9.23270	9.14050	9.20360	1697	0	0
2000.05.25	9.22480	9.25030	9.10310	9.14350	2132	0	0
2000.05.26	9.12830	9.17680	8.95930	9.03720	3440	0	0
2000.05.29	9.02010	9.10170	8.99090	9.08100	1608	0	0
2000.05.30	9.08960	9.10240	8.94270	9.01610	2460	0	0
2000.05.31	9.03450	9.04230	8.92650	8.93470	1319	0	0
2000.06.01	8.93820	8.98040	8.91980	8.95010	1094	0	0
2000.06.02	8.93090	8.97760	8.78640	8.82070	2723	0	0
2000.06.05	8.79010	8.85620	8.78700	8.80200	1266	0	0
2000.06.06	8.81300	8.82730	8.68590	8.72500	1949	0	0
2000.06.07	8.73170	8.75130	8.64390	8.64900	1322	0	0
2000.06.08	8.68660	8.77640	8.60770	8.74310	2810	0	0
2000.06.09	8.77110	8.81230	8.71320	8.71550	1427	0	0
2000.06.12	8.71690	8.76780	8.67790	8.69370	1567	0	0
2000.06.13	8.70780	8.72120	8.58880	8.61180	1689	0	0
2000.06.14	8.60500	8.62550	8.51050	8.54670	1718	0	0
2000.06.15	8.56110	8.66920	8.53750	8.60470	2199	0	0
2000.06.16	8.60420	8.68150	8.59190	8.62950	1540	0	0
2000.06.19	8.63900	8.66110	8.58550	8.65680	1335	0	0
2000.06.20	8.65350	8.66530	8.60770	8.63920	1010	0	0
2000.06.21	8.64760	8.73210	8.64230	8.72530	1020	0	0
2000.06.22	8.71890	8.85790	8.69400	8.84580	2010	0	0
2000.06.23	8.83640	8.86880	8.77680	8.86710	1534	0	0
2000.06.26	8.85400	8.94810	8.83550	8.92680	1525	0	0
2000.06.27	8.91250	8.94220	8.83800	8.84720	1432	0	0
2000.06.28	8.85400	8.92220	8.83350	8.91220	1193	0	0
2000.06.29	8.89890	8.89890	8.80300	8.84350	1365	0	0
2000.06.30	8.84630	8.85490	8.74810	8.82690	1943	0	0
2000.07.03	8.82000	8.84740	8.79570	8.81960	1031	0	0
2000.07.04	8.81830	8.85800	8.80480	8.82350	1013	0	0
2000.07.05	8.82580	8.85180	8.78550	8.83040	1281	0	0
2000.07.06	8.82830	8.89650	8.81050	8.88290	1175	0	0
2000.07.07	8.88110	8.92620	8.85240	8.90580	1230	0	0
2000.07.10	8.90290	8.91460	8.83900	8.84800	964	0	0
2000.07.11	8.85000	8.88890	8.82650	8.86150	1134	0	0
2000.07.12	8.86720	8.90250	8.82000	8.85350	1514	0	0
2000.07.13	8.87230	8.95650	8.85130	8.90500	1778	0	0
2000.07.14	8.91710	8.96030	8.88610	8.88610	1175	0	0
2000.07.17	8.88640	8.96420	8.88640	8.93730	1048	0	0
2000.07.18	8.94730	9.08900	8.93890	9.08900	1586	0	0
2000.07.19	9.10520	9.12860	9.06430	9.07280	963	0	0
2000.07.20	9.08990	9.14760	8.98100	8.99420	2376	0	0
2000.07.21	8.98670	9.03850	8.95450	8.98450	1659	0	0
2000.07.24	8.97340	9.03030	8.95260	8.98440	1445	0	0
2000.07.25	8.99340	9.00560	8.88910	8.95380	1935	0	0
2000.07.26	8.93050	8.95110	8.89170	8.91660	1050	0	0
2000.07.27	8.90650	9.11660	8.90650	9.11430	2125	0	0
2000.07.28	9.11290	9.18250	9.08870	9.18160	1190	0	0
2000.07.31	9.17120	9.21490	9.14760	9.16020	1237	0	0
2000.08.01	9.15280	9.30640	9.12250	9.28860	2321	0	0
2000.08.02	9.27760	9.28960	9.22200	9.26170	1194	0	0
2000.08.03	9.27850	9.38390	9.22560	9.30640	2888	0	0
2000.08.04	9.32980	9.34190	9.22500	9.24430	1484	0	0
2000.08.07	9.25070	9.27090	9.17900	9.20590	1391	0	0
2000.08.08	9.21050	9.26400	9.19200	9.23910	1155	0	0
2000.08.09	9.23620	9.28790	9.20850	9.25610	1390	0	0
2000.08.10	9.24930	9.25570	9.17880	9.20740	1120	0	0
2000.08.11	9.20980	9.24850	9.13320	9.24050	2000	0	0
2000.08.14	9.24020	9.25400	9.18120	9.20050	1060	0	0
2000.08.15	9.19250	9.20380	9.13250	9.16430	1145	0	0
2000.08.16	9.15900	9.24850	9.12400	9.18020	2279	0	0
2000.08.17	9.19190	9.25230	9.16580	9.19280	1722	0	0
2000.08.18	9.18300	9.29730	9.17270	9.28470	1476	0	0
2000.08.21	9.29370	9.34350	9.25160	9.30660	1710	0	0
2000.08.22	9.29800	9.36090	9.28020	9.34540	1141	0	0
2000.08.23	9.33550	9.39660	9.27100	9.27300	1888	0	0
2000.08.24	9.25910	9.30550	9.24550	9.28360	956	0	0
2000.08.25	9.29160	9.32890	9.25240	9.30930	1354	0	0
2000.08.28	9.30050	9.38010	9.28800	9.37230	1125	0	0
2000.08.29	9.36990	9.46580	9.34960	9.44740	1550	0	0
2000.08.30	9.48470	9.49190	9.41860	9.43450	965	0	0
2000.08.31	9.42680	9.48450	9.38780	9.43140	1889	0	0
2000.09.01	9.42050	9.45680	9.29950	9.30430	1985	0	0
2000.09.04	9.27250	9.34260	9.26530	9.33380	934	0	0
2000.09.05	9.32860	9.47990	9.31780	9.45930	1936	0	0
2000.09.06	9.43170	9.68180	9.41850	9.63860	3198	0	0
2000.09.07	9.62480	9.71160	9.53120	9.57450	3106	0	0
2000.09.08	9.58400	9.67160	9.53950	9.61920	2291	0	0
2000.09.11	9.66900	9.77330	9.57010	9.76550	3100	0	0
2000.09.12	9.75300	9.78380	9.65230	9.73160	2417	0	0
2000.09.13	9.72450	9.78650	9.68710	9.77380	1496	0	0
2000.09.14	9.76600	9.81010	9.64780	9.72150	2802	0	0
2000.09.15	9.71650	9.82910	9.67850	9.81120	2066	0	0
2000.09.18	9.81610	9.84600	9.78780	9.82990	1027	0	0
2000.09.19	9.82150	9.87290	9.78910	9.84360	1456	0	0
2000.09.20	9.84150	9.90200	9.83660	9.87130	1011	0	0
2000.09.21	9.87150	9.89890	9.74400	9.78380	2222	0	0
2000.09.22	9.77740	9.82330	9.39990	9.67720	7467	0	0
2000.09.25	9.67010	9.70080	9.59470	9.67240	2100	0	0
2000.09.26	9.66280	9.68870	9.59750	9.62000	1397	0	0
2000.09.27	9.59900	9.71840	9.56900	9.66860	2293	0	0
